,Gemeindename,average
439,Corserey,151.82509505703422
440,Corsier (GE),166.3066554338669
441,Corsier-sur-Vevey,152.0421502748931
442,Cortaillod,149.1458611481976
443,Cortébert,170.21714285714285
444,Cossonay,147.2863227638429
445,Cottens (FR),151.19872611464967
446,Cottens (VD),150.78388278388277
447,Courchapoix,152.34959349593495
448,Courchavon,158.58823529411765
449,Courgenay,154.54310980103168
450,Courgevaux,156.20987654320987
451,Courrendlin,157.07369758576874
452,Courroux,155.298769771529
453,Court,164.53117505995203
454,Courtedoux,157.17910447761193
455,Courtelary,161.42069892473117
456,Courtepin,153.5389876880985
457,Courtételle,153.47083926031294
458,Crans-Montana,171.1021662763466
459,Crans-près-Céligny,166.163280662152
460,Crassier,153.17671809256663
461,Cressier (FR),151.65718799368088
462,Cressier (NE),152.93830570902395
463,Crissier,150.12681693701285
464,Croglio,151.09775429326288
465,Cronay,146.44976076555025
466,Croy,148.05154639175257
467,Crémines,167.043321299639
468,Crésuz,159.96581196581195
469,Cuarnens,158.0177304964539
470,Cuarny,156.26282051282053
471,Cudrefin,151.9206500956023
472,Cugnasco-Gerra,146.94247787610618
473,Cugy (FR),152.44866920152091
474,Cugy (VD),152.04436450839327
475,Cureglia,147.99892588614392
476,Curio,147.0722543352601
477,Curtilles,150.56613756613757
478,Céligny,168.33489461358315
479,Dachsen,160.24242424242425
480,Dagmersellen,158.965112591183
481,Daillens,146.90557275541795
482,Dallenwil,158.886
483,Dalpe,156.67241379310346
484,Damphreux,160.99065420560748
485,Dardagny,159.60944206008583
486,Davos,177.33523158694
487,Degersheim,167.12633352049411
488,Deisswil bei Münchenbuchsee,158.19117647058823
489,Deitingen,158.4735226400614
490,Delley-Portalban,151.7989417989418
491,Delémont,152.76311118283041
492,Denens,155.1255605381166
493,Denges,150.63841201716738
494,Densbüren,173.36111111111111
495,Derendingen,160.45486211901306
496,Develier,157.00238663484487
497,Diegten,166.07534983853606
498,Dielsdorf,156.44151043041987
499,Diemerswil,157.1157894736842
500,Diemtigen,182.10329985652797
501,Diepflingen,161.2595238095238
502,Diepoldsau,163.09753231492363
503,Dierikon,155.2123287671233
504,Diessbach bei Büren,165.29151943462898
505,Diessenhofen,164.88163662932294
506,Dietikon,160.6281335813624
507,Dietlikon,158.40400202634245
508,Dietwil,158.24289772727272
509,Dinhard,163.88073394495413
510,Dintikon,163.46934140802423
511,Disentis/Mustér,174.06686930091186
512,Dittingen,173.81453634085213
513,Dizy,149.13475177304966
514,Domat/Ems,164.33124018838305
515,Domleschg,166.72241992882562
516,Dompierre (VD),154.44078947368422
517,Donat,183.73846153846154
518,Donneloye,150.19791666666666
519,Doppleschwand,164.68965517241378
520,Dorf,167.62796833773086
521,Dornach,166.69703243616286
522,Dorénaz,173.3878437047757
523,Dottikon,162.53576923076923
524,Dotzigen,158.78172588832487
525,Dozwil,159.36363636363637
526,Drei Höfe,160.66202783300199
527,Duggingen,171.48099606815202
528,Duillier,154.36909871244634
529,Dulliken,164.265475695887
530,Dully,173.72235872235873
531,Dägerlen,162.38825757575756
532,Dällikon,160.02237230899112
533,Däniken,166.82144772117962
534,Dänikon,164.28003875968992
535,Därligen,167.00440528634363
536,Därstetten,186.60576923076923
537,Dättlikon,160.63593380614657
538,Démoret,149.03529411764706
539,Dörflingen,166.92748735244518
540,Döttingen,164.7106804867057
541,Dübendorf,159.91482523101647
542,Düdingen,154.7092893740254
543,Dürnten,162.61149488809065
544,Dürrenroth,167.2510460251046
545,Dürrenäsch,169.3222079589217
546,Ebersecken,168.5962441314554
547,Ebikon,157.4711859025242
548,Ebnat-Kappel,170.9903886335144
549,Echallens,147.66645161290322
550,Echandens,152.61304347826086
551,Echarlens,149.57504873294346
552,Echichens,152.38583175205565
553,Eclépens,148.92838541666666
554,Ecublens (FR),156.30357142857142
555,Ecublens (VD),151.44494773519165
556,Ederswiler,174.41176470588235
557,Effingen,168.41828254847644
558,Egerkingen,162.88867469879517
559,Egg,161.71455223880596
560,Eggenwil,162.81574239713774
561,Eggerberg,172.28934010152284
562,Eggersriet,164.31113058720422
563,Eggiwil,179.93677325581396
564,Eglisau,159.08277227722772
565,Egliswil,164.5060506050605
566,Egnach,165.81749906120916
567,Egolzwil,157.6797619047619
568,Ehrendingen,163.29535864978902
569,Eich,164.1081871345029
570,Eichberg,164.20811287477954
571,Eiken,167.97851112816576
572,Einsiedeln,167.8194495865729
573,Eischoll,172.04098360655738
574,Eisten,180.12
575,Elfingen,169.16923076923078
576,Elgg,163.04955147372917
577,Ellikon an der Thur,163.11560693641619
578,Elsau,161.11933174224345
579,Embd,183.94193548387096
580,Embrach,160.32563161304253
581,Emmen,157.751312335958
582,Emmetten,171.1453692848769
583,Endingen,163.41326137239784
584,Engelberg,172.1974431818182
585,Enges,158.49404761904762
586,Ennetbaden,164.0432868672047
587,Ennetbürgen,160.65303782957585
588,Ennetmoos,160.9808306709265
589,Entlebuch,168.92426755113323
590,Epalinges,151.12859672421425
591,Ependes (FR),147.62686567164178
592,Ependes (VD),155.1697247706422
593,Eppenberg-Wöschnau,160.33333333333334
594,Epsach,167.75135135135136
595,Eptingen,172.4245810055866
596,Ergisch,181.4
597,Eriswil,174.48448043184885
598,Eriz,181.2446483180428
599,Erlach,159.79738562091504
600,Erlen,166.78211227402474
601,Erlenbach (ZH),176.10410334346506
602,Erlenbach im Simmental,171.34506353861192
603,Erlinsbach (AG),164.76894467689448
604,Erlinsbach (SO),162.35351089588377
605,Ermatingen,166.24667729930889
606,Ermensee,158.0409252669039
607,Ernen,175.48014440433212
608,Erschwil,171.27462121212122
609,Ersigen,161.08304498269896
610,Erstfeld,161.71323529411765
611,Eschenbach (LU),156.59605662285136
612,Eschenbach (SG),169.5492208285823
613,Eschenz,166.91849529780563
614,Eschert,166.922131147541
615,Eschlikon,163.28778718258766
616,Escholzmatt-Marbach,176.45249254367278
617,Essertes,158.68
618,Essertines-sur-Rolle,162.3262195121951
619,Essertines-sur-Yverdon,149.0079365079365
620,Estavayer,148.60631025416302
621,Etagnières,150.1072902338377
622,Etoy,153.65005138746145
623,Ettingen,171.52302763315978
624,Ettiswil,161.33685601056803
625,Etziken,162.0910815939279
626,Evilard,163.61447811447812
627,Evionnaz,167.24174653887113
628,Evolène,181.77039848197344
629,Eysins,155.87713675213675
630,Fahrni,170.67391304347825
631,Fahrwangen,167.39070146818923
632,Fahy,158.0418410041841
633,Faido,153.7744488411532
634,Falera,170.33130699088147
635,Faoug,149.1936127744511
636,Farnern,175.9699248120301
637,Fehraltorf,160.94883303411132
638,Fehren,169.01529051987768
639,Felben-Wellhausen,163.0086313193588
640,Feldbrunnen-St. Niklaus,172.35748031496064
641,Felsberg,165.96661237785017
642,Ferden,192.87218045112783
